index;lat;long;time;100m_ucomponent_wind;100m_vcomponent_wind;velocita_vento
294;21,76000023;159,3200073;13/01/2019 06:00;-2,1479554;-2,318937;3,16088298
295;21,76000023;159,3200073;13/01/2019 07:00;-2,43465;-1,8952122;3,085344374
296;21,76000023;159,3200073;13/01/2019 08:00;-2,7240233;-1,2833438;3,0111915
297;21,76000023;159,3200073;13/01/2019 09:00;-2,8413806;-0,48896003;2,883145093
298;21,76000023;159,3200073;13/01/2019 10:00;-1,9545039;0,811964;2,116452464
299;21,76000023;159,3200073;13/01/2019 11:00;-1,5000801;1,7932853;2,337971872
300;21,76000023;159,3200073;13/01/2019 12:00;-0,8993621;2,7528975;2,896083015
301;21,76000023;159,3200073;13/01/2019 13:00;-0,17753553;3,3776305;3,382293107
302;21,76000023;159,3200073;13/01/2019 14:00;0,28974915;3,7800486;3,791137295
303;21,76000023;159,3200073;13/01/2019 15:00;0,9161897;4,295433;4,392055125
304;21,76000023;159,3200073;13/01/2019 16:00;1,764483;4,450209;4,787249774
305;21,76000023;159,3200073;13/01/2019 17:00;2,8260555;4,312318;5,155839042
306;21,76000023;159,3200073;13/01/2019 18:00;3,6786356;3,7603498;5,26047436
307;21,76000023;159,3200073;13/01/2019 19:00;4,2541676;3,2373269;5,345860775
308;21,76000023;159,3200073;13/01/2019 20:00;4,36831;2,9707904;5,282776529
309;21,76000023;159,3200073;13/01/2019 21:00;4,405821;2,9852629;5,321940742
310;21,76000023;159,3200073;13/01/2019 22:00;4,6882286;3,6980374;5,97117811
311;21,76000023;159,3200073;13/01/2019 23:00;5,0601273;3,6099958;6,215863413
312;21,76000023;159,3200073;14/01/2019 00:00;5,41327;3,311298;6,345721908
313;21,76000023;159,3200073;14/01/2019 01:00;5,765877;2,865462;6,438649707
