index,lat,long,time,significant_wave_height,energy_wave_period,mean_wave_direction
251,41.0,6.0,2019-01-11 11:00:00,2.6113262,7.528559,323.64246
252,41.0,6.0,2019-01-11 12:00:00,2.6980128,7.486321,324.0047
253,41.0,6.0,2019-01-11 13:00:00,2.75912,7.506183,324.11447
254,41.0,6.0,2019-01-11 14:00:00,2.7625542,7.5631294,323.93884
255,41.0,6.0,2019-01-11 15:00:00,2.7227635,7.6139164,323.67538
256,41.0,6.0,2019-01-11 16:00:00,2.6611829,7.633024,323.48328
257,41.0,6.0,2019-01-11 17:00:00,2.592023,7.617813,323.34607
258,41.0,6.0,2019-01-11 18:00:00,2.5223894,7.5809803,323.2253
259,41.0,6.0,2019-01-11 19:00:00,2.4589138,7.5332108,323.143
260,41.0,6.0,2019-01-11 20:00:00,2.4059782,7.4889607,323.0332
261,41.0,6.0,2019-01-11 21:00:00,2.3787405,7.4399343,322.94537
262,41.0,6.0,2019-01-11 22:00:00,2.383359,7.3978214,323.0332
263,41.0,6.0,2019-01-11 23:00:00,2.4312024,7.3510575,323.27472
264,41.0,6.0,2019-01-12 00:00:00,2.5093627,7.325287,323.46133
265,41.0,6.0,2019-01-12 01:00:00,2.597352,7.3306923,323.5272
266,41.0,6.0,2019-01-12 02:00:00,2.6667488,7.374188,323.3296
267,41.0,6.0,2019-01-12 03:00:00,2.710921,7.447351,322.96185
268,41.0,6.0,2019-01-12 04:00:00,2.7560408,7.5065603,322.58862
269,41.0,6.0,2019-01-12 05:00:00,2.8085027,7.54113,322.4075
270,41.0,6.0,2019-01-12 06:00:00,2.8666492,7.5643864,322.3636
271,41.0,6.0,2019-01-12 07:00:00,2.9369934,7.5801,322.44043
272,41.0,6.0,2019-01-12 08:00:00,3.0151534,7.596191,322.6051
273,41.0,6.0,2019-01-12 09:00:00,3.0902345,7.624099,322.73132
274,41.0,6.0,2019-01-12 10:00:00,3.1763291,7.6428294,323.06067
275,41.0,6.0,2019-01-12 11:00:00,3.2819636,7.6598,323.1759
276,41.0,6.0,2019-01-12 12:00:00,3.3655713,7.6995244,323.06067
