time;P;G(i);H_sun;T2m;WS10m;Int;capacity factor
20190120:0210;0;0;0;0;0;0;0
20190120:0310;0;0;0;0;0;0;0
20190120:0410;0;0;0;0;0;0;0
20190120:0510;0;0;0;0;0;0;0
20190120:0610;0;0;0;0;0;0;0
20190120:0710;39830;60,26;6,98;0;0;0;0,03983
20190120:0810;75760;100,82;15,36;0;0;0;0,07576
20190120:0910;92490;119,71;22;0;0;0;0,09249
20190120:1010;219330;258,99;26,3;0;0;0;0,21933
20190120:1110;325230;377,63;27,75;0;0;0;0,32523
20190120:1210;209490;248,13;26,15;0;0;0;0,20949
20190120:1310;52650;74,82;21,71;0;0;0;0,05265
20190120:1410;34470;53,58;14,97;0;0;0;0,03447
20190120:1510;55150;78,51;6,51;0;0;0;0,05515
20190120:1610;0;0;0;0;0;0;0
20190120:1710;0;0;0;0;0;0;0
20190120:1810;0;0;0;0;0;0;0
20190120:1910;0;0;0;0;0;0;0
20190120:2010;0;0;0;0;0;0;0
20190120:2110;0;0;0;0;0;0;0
20190120:2210;0;0;0;0;0;0;0
20190120:2310;0;0;0;0;0;0;0
20190121:0010;0;0;0;0;0;0;0
20190121:0110;0;0;0;0;0;0;0
20190121:0210;0;0;0;0;0;0;0
20190121:0310;0;0;0;0;0;0;0
20190121:0410;0;0;0;0;0;0;0
20190121:0510;0;0;0;0;0;0;0
20190121:0610;0;0;0;0;0;0;0
20190121:0710;84520;111,96;7,1;0;0;0;0,08452
20190121:0810;92640;119,47;15,51;0;0;0;0,09264
20190121:0910;160020;193,54;22,18;0;0;0;0,16002
20190121:1010;158300;192,13;26,5;0;0;0;0,1583
20190121:1110;82010;108,08;27,97;0;0;0;0,08201
20190121:1210;37580;57,27;26,38;0;0;0;0,03758
20190121:1310;55870;78,52;21,94;0;0;0;0,05587
20190121:1410;30630;48,96;15,19;0;0;0;0,03063
20190121:1510;380;6,47;6,72;0;0;0;0,00038
20190121:1610;0;0;0;0;0;0;0
20190121:1710;0;0;0;0;0;0;0
20190121:1810;0;0;0;0;0;0;0
20190121:1910;0;0;0;0;0;0;0
20190121:2010;0;0;0;0;0;0;0
20190121:2110;0;0;0;0;0;0;0
20190121:2210;0;0;0;0;0;0;0
20190121:2310;0;0;0;0;0;0;0
20190122:0010;0;0;0;0;0;0;0
20190122:0110;0;0;0;0;0;0;0
20190122:0210;0;0;0;0;0;0;0
20190122:0310;0;0;0;0;0;0;0
20190122:0410;0;0;0;0;0;0;0
20190122:0510;0;0;0;0;0;0;0
20190122:0610;0;0;0;0;0;0;0
20190122:0710;780;7,39;7,23;0;0;0;0,00078
20190122:0810;22370;38,8;15,67;0;0;0;0,02237
20190122:0910;15190;29,56;22,36;0;0;0;0,01519
20190122:1010;69690;94,22;26,71;0;0;0;0,06969
20190122:1110;61530;84,98;28,2;0;0;0;0,06153
20190122:1210;53450;75,75;26,61;0;0;0;0,05345
20190122:1310;97160;124,84;22,18;0;0;0;0,09716
20190122:1410;15190;29,56;15,42;0;0;0;0,01519
20190122:1510;8490;20,32;6,94;0;0;0;0,00849
20190122:1610;0;0;0;0;0;0;0
20190122:1710;0;0;0;0;0;0;0
20190122:1810;0;0;0;0;0;0;0
20190122:1910;0;0;0;0;0;0;0
20190122:2010;0;0;0;0;0;0;0
20190122:2110;0;0;0;0;0;0;0
20190122:2210;0;0;0;0;0;0;0
20190122:2310;0;0;0;0;0;0;0
20190123:0010;0;0;0;0;0;0;0
20190123:0110;0;0;0;0;0;0;0
20190123:0210;0;0;0;0;0;0;0
20190123:0310;0;0;0;0;0;0;0
20190123:0410;0;0;0;0;0;0;0
20190123:0510;0;0;0;0;0;0;0
20190123:0610;0;0;0;0;0;0;0
20190123:0710;70520;95,93;7,36;0;0;0;0,07052
20190123:0810;484440;566,24;15,83;0;0;0;0,48444
20190123:0910;634710;756,05;22,55;0;0;0;0,63471
20190123:1010;720790;874,44;26,92;0;0;0;0,72079
20190123:1110;705650;854,29;28,43;0;0;0;0,70565
20190123:1210;713540;864,35;26,85;0;0;0;0,71354
20190123:1310;620930;737,88;22,42;0;0;0;0,62093
20190123:1410;464890;542,47;15,65;0;0;0;0,46489
20190123:1510;237290;286,58;7,15;0;0;0;0,23729
20190123:1610;0;0;0;0;0;0;0
20190123:1710;0;0;0;0;0;0;0
20190123:1810;0;0;0;0;0;0;0
20190123:1910;0;0;0;0;0;0;0
20190123:2010;0;0;0;0;0;0;0
20190123:2110;0;0;0;0;0;0;0
20190123:2210;0;0;0;0;0;0;0
20190123:2310;0;0;0;0;0;0;0
20190124:0010;0;0;0;0;0;0;0
20190124:0110;0;0;0;0;0;0;0
20190124:0210;0;0;0;0;0;0;0
20190124:0310;0;0;0;0;0;0;0
20190124:0410;0;0;0;0;0;0;0
20190124:0510;0;0;0;0;0;0;0
20190124:0610;0;0;0;0;0;0;0
20190124:0710;91940;120,31;7,51;0;0;0;0,09194
20190124:0810;200480;237,43;15,99;0;0;0;0,20048
20190124:0910;94920;122,42;22,74;0;0;0;0,09492
20190124:1010;138530;170,63;27,14;0;0;0;0,13853
20190124:1110;64790;88,68;28,67;0;0;0;0,06479
20190124:1210;56670;79,44;27,1;0;0;0;0,05667
20190124:1310;340620;394,41;22,66;0;0;0;0,34062
20190124:1410;83700;109,67;15,88;0;0;0;0,0837
20190124:1510;15190;29,56;7,38;0;0;0;0,01519
20190124:1610;0;0;0;0;0;0;0
20190124:1710;0;0;0;0;0;0;0
20190124:1810;0;0;0;0;0;0;0
20190124:1910;0;0;0;0;0;0;0
20190124:2010;0;0;0;0;0;0;0
20190124:2110;0;0;0;0;0;0;0
20190124:2210;0;0;0;0;0;0;0
20190124:2310;0;0;0;0;0;0;0
20190125:0010;0;0;0;0;0;0;0
