index;lat;long;time;100m_ucomponent_wind;100m_vcomponent_wind;velocita_vento;potenza prodotta;capacity factor
219;21,76000023;159,3200073;43475,125;2,8083715;-8,077817;8,55208033;8324971,922;0,46249844
220;21,76000023;159,3200073;43475,16667;2,0977983;-9,83503;10,05627032;13535623,93;0,751979107
221;21,76000023;159,3200073;43475,20833;0,38138437;-10,522076;10,52898558;15535565,11;0,86308695
222;21,76000023;159,3200073;43475,25;-1,7637317;-10,828411;10,97110907;17575960,21;0,976442234
223;21,76000023;159,3200073;43475,29167;-3,7866676;-10,911629;11,54999995;18000000;1
224;21,76000023;159,3200073;43475,33333;-5,0384765;-10,456948;11,60749787;18000000;1
225;21,76000023;159,3200073;43475,375;-5,923209;-10,033626;11,65152589;18000000;1
226;21,76000023;159,3200073;43475,41667;-6,1139817;-9,647691;11,42185247;18000000;1
227;21,76000023;159,3200073;43475,45833;-6,4773064;-8,667173;10,82013798;16860321,81;0,936684545
228;21,76000023;159,3200073;43475,5;-6,8540277;-7,8776135;10,44195816;15153512,4;0,8418618
229;21,76000023;159,3200073;43475,54167;-6,8449183;-7,0446362;9,822413437;12613107,38;0,700728188
230;21,76000023;159,3200073;43475,58333;-6,640749;-6,4721656;9,272997079;10612747,5;0,589597083
231;21,76000023;159,3200073;43475,625;-6,1938276;-6,0404;8,651585548;8618954,384;0,478830799
232;21,76000023;159,3200073;43475,66667;-6,274745;-5,9101467;8,619875801;8524530,87;0,473585048
233;21,76000023;159,3200073;43475,70833;-6,310113;-5,6500425;8,469976761;8087496,747;0,449305375
234;21,76000023;159,3200073;43475,75;-6,404963;-5,658485;8,546461462;8308573,739;0,46158743
235;21,76000023;159,3200073;43475,79167;-6,206153;-5,553559;8,328166222;7688039,69;0,427113316
236;21,76000023;159,3200073;43475,83333;-6,2533097;-5,540694;8,354829274;7762117,31;0,431228739
237;21,76000023;159,3200073;43475,875;-6,467661;-5,260891;8,337122581;7712870,218;0,42849279
