"significant_wave_height,energy_wave_period,mean_wave_direction,potenza(kW/m)"
"('2019-01-13 04:00:00', '0.70244586', '4.303942')",1.0406105022681316
"('2019-01-13 05:00:00', '0.65359676', '4.1576686')",0.8702934819743681
"('2019-01-13 06:00:00', '0.61149764', '4.017053')",0.7360260954475262
"('2019-01-13 07:00:00', '0.5663787', '3.9062119')",0.6139962284113659
"('2019-01-13 08:00:00', '0.51658213', '3.8426752')",0.5024681228736244
"('2019-01-13 09:00:00', '0.47181857', '3.783127')",0.41266445357660275
"('2019-01-13 10:00:00', '0.42918658', '3.7361007')",0.3372150281803122
"('2019-01-13 11:00:00', '0.40360737', '3.6290622')",0.2896734340162344
"('2019-01-13 12:00:00', '0.38051498', '3.5540242')",0.2521505837560489
"('2019-01-13 13:00:00', '0.36221874', '3.4907658')",0.22441848358668876
"('2019-01-13 14:00:00', '0.34937', '3.43669')",0.2055453512788079
"('2019-01-13 15:00:00', '0.3446331', '3.3823361')",0.1968460996738794
"('2019-01-13 16:00:00', '0.34155405', '3.3461618')",0.19127662303156956
"('2019-01-13 17:00:00', '0.34427774', '3.358591')",0.19506128760595776
"('2019-01-13 18:00:00', '0.34469223', '3.3905911')",0.19739424428919936
"('2019-01-13 19:00:00', '0.35043573', '3.3943014')",0.20425055395217845
"('2019-01-13 20:00:00', '0.35896218', '3.3802955')",0.21342639824816625
"('2019-01-13 21:00:00', '0.3770808', '3.3318777')",0.2321421334534371
"('2019-01-13 22:00:00', '0.38833082', '3.3005269')",0.2438838691649437
"('2019-01-13 23:00:00', '0.44037747', '3.1764216')",0.30184529089552886
"('2019-01-14 00:00:00', '0.52724016', '3.0898821')",0.42087676899341986
"('2019-01-14 01:00:00', '0.6194911', '3.1069489')",0.5842521689426644
"('2019-01-14 02:00:00', '0.7006104', '3.2058249')",0.7710615329376829
"('2019-01-14 03:00:00', '0.7771112', '3.32724')",0.9845698782513139
"('2019-01-14 04:00:00', '0.8026904', '3.444296')",1.087408404258037
"('2019-01-14 05:00:00', '0.7575122', '3.5278673')",0.9919449808834391
"('2019-01-14 06:00:00', '0.67615616', '3.5528183')",0.7959084125027033
"('2019-01-14 07:00:00', '0.58781314', '3.5556011')",0.6019878030874558
"('2019-01-14 08:00:00', '0.5037925', '3.5696998')",0.4439470460454143
"('2019-01-14 09:00:00', '0.43765378', '3.5539315')",0.3335542667435008
"('2019-01-14 10:00:00', '0.3967389', '3.4216638')",0.2639021843183453
"('2019-01-14 11:00:00', '0.4039626', '3.1805959')",0.2543237346018379
"('2019-01-14 12:00:00', '0.47679234', '2.9871104')",0.33274067479479436
"('2019-01-14 13:00:00', '0.6002475', '3.0396094')",0.5366295437515679
"('2019-01-14 14:00:00', '0.7775848', '3.2732573')",0.9697767105829594
"('2019-01-14 15:00:00', '0.94006014', '3.5829635')",1.5514927148100859
"('2019-01-14 16:00:00', '0.93520486', '3.8052025')",1.6307499112827344
"('2019-01-14 17:00:00', '0.8549738', '3.9524963')",1.4157063000338952
"('2019-01-14 18:00:00', '0.78800595', '4.0385723')",1.22880490335823
"('2019-01-14 19:00:00', '0.73483443', '4.089216')",1.0819697644022197
"('2019-01-14 20:00:00', '0.6874063', '4.138283')",0.9581715753126342
"('2019-01-14 21:00:00', '0.6628337', '4.0830016')",0.8789917356648981
"('2019-01-14 22:00:00', '0.6555507', '3.9665022')",0.8352497425838847
"('2019-01-14 23:00:00', '0.6569718', '3.860206')",0.8163944015652257
